ep,kind,rep_of,t_plus_s,t_minus_s,w_b_rpm,duty,period_s,w_hi_rpm,r_last,X_last,P_last_W,r_mean,X_mean,X_blocks,r_blocks,wall_min,worker,status
121,bo,-1,4.040727220501115,0.5396921076585737,300.0,0.882174082983924,4.580419328159689,334.73209238540363,0.29185248720486257,0.40854086564391817,3.7270268073434356,0.28437554888949457,0.4010639273285501,0.371936;0.405697;0.407556;0.411589;0.408541,0.255248;0.289009;0.290868;0.294901;0.291852,195.51330372492473,worker_16,ok
112,bo,-1,1.007739619426678,1.373565277549607,300.0,0.4231879843300527,2.381304896976285,703.6146202166841,0.25088703496720993,0.3664684616430358,3.6916707680258787,0.2464224061842296,0.36200383286005544,0.338760;0.366835;0.368207;0.369749;0.366468,0.223178;0.251254;0.252625;0.254167;0.250887,209.43142102956773,worker_17,ok
123,bo,-1,2.2848360073915672,0.14832014013655637,300.0,0.9390420790349865,2.4331561475281234,318.1429876144131,0.2858577494334711,0.403038076262275,3.7427396389119965,0.278880003708926,0.3960603305377298,0.371379;0.400288;0.401784;0.403812;0.403038,0.254199;0.283108;0.284604;0.286632;0.285858,192.816199417909,worker_30,ok
124,bo,-1,5.0,0.8999999999999999,300.0,0.847457627118644,5.9,348.2019362256707,0.2762025278046732,0.39263799139429506,3.718948707052522,0.2696855378986785,0.38612100148830025,0.363120;0.389754;0.392415;0.392678;0.392638,0.246684;0.273319;0.275980;0.276242;0.276203,194.9394644101461,worker_33,ok
125,bo,-1,5.0,4.6000000000000005,300.0,0.5208333333333333,9.600000000000001,520.01854112953,0.24453535188683462,0.3590699996587441,3.6582366498347887,0.23893694484130173,0.353471592613211,0.342228;0.350313;0.358234;0.357513;0.359070,0.227694;0.235779;0.243699;0.242978;0.244535,189.00370851357778,worker_11,ok
126,bo,-1,4.834510693706782,0.44982573274910786,300.0,0.914875644461797,5.28433642645589,322.7169110193213,0.2941814472381435,0.4108861804114138,3.7275491775542537,0.28462559917437086,0.40133033234764115,0.370408;0.404182;0.410043;0.411133;0.410886,0.253703;0.287477;0.293339;0.294428;0.294181,196.16656145652135,worker_08,ok
128,bo,-1,4.68,0.5,300.0,0.9034749034749034,5.18,331.90543724433,0.29578808816581026,0.4125177871336744,3.728346585033579,0.2868936667537434,0.4036233657216076,0.371721;0.407443;0.412535;0.413900;0.412518,0.254991;0.290713;0.295806;0.297170;0.295788,195.6936706384023,worker_22,ok
108,bo,-1,1.0,2.3000000000000003,300.0,0.303030303030303,3.3000000000000003,974.8405889428307,0.24623535902271523,0.3621961693830286,3.70378828290841,0.2419132611673287,0.3578740715276416,0.343066;0.360187;0.361697;0.362224;0.362196,0.227105;0.244227;0.245736;0.246263;0.246235,228.21492884953815,worker_06,ok
127,bo,-1,1.3192259044902324,0.22274199443158615,300.0,0.8555469315623674,1.5419678989218184,347.85766323074876,0.28860017386805303,0.40548339571413355,3.7332501057638114,0.28129291813113727,0.398176139977218,0.368709;0.401797;0.406413;0.408478;0.405483,0.251826;0.284914;0.289530;0.291594;0.288600,197.40090080897014,worker_09,ok
129,bo,-1,1.1383469319071695,0.25411739262214184,300.0,0.8175052759731996,1.3924643245293113,364.02580563659575,0.28494570769484556,0.40194423239357957,3.7369328788775644,0.2785103927653767,0.39550891746411104,0.366291;0.399094;0.404344;0.405872;0.401944,0.249292;0.282095;0.287345;0.288874;0.284946,195.55363682508468,worker_10,ok
